,complaint_type,text,labels
1124,ELECTRICAL,led lighting,8
1742,HAZARDOUS MATERIALS,chemical spill Edit,10
775,CONSUMER COMPLAINT,hotel,3
1534,SCRIE,tac pic,19
1467,SCRIE,medical assistance,19
1791,HAZARDOUS MATERIALS,dangerous chemical storage,10
585,PLUMBING,plate missing moved exposing hole,17
1716,OTHER,transitional cabinet,16
1713,OTHER,Cooking gas,16
66,PLUMBING,failure retain water improper drainage,17
1936,SANITATION,Sidewalk dirty,18
306,TRAFFIC,enclosure cap,22
59,CONSUMER COMPLAINT,damaged vehicle,3
1266,HIGHWAY CONDITION,painted line length marking,11
1283,HIGHWAY CONDITION,concrete plus,11
340,AIR QUALITY,air smoke,0
345,WATER CONSERVATION,water waste problem,25
2501,HPD LITERATURE REQUEST,home field kit,12
947,MAINTENANCE OR FACILITY,usa indoors,14
1911,SANITATION,improper administration,18
460,CONSUMER COMPLAINT,prohibited item sale minor,3
2544,CONSTRUCTION,mold,1
1821,DOF PROPERTY - PAYMENT ISSUE,billing towers,6
411,PLUMBING,water supply,17
860,TRAFFIC,expy sign reflector,22
1773,HAZARDOUS MATERIALS,unsafe chemical weapons,10
386,TRAFFIC,post base,22
28,STREET CONDITION,lamppost knocked,21
930,MAINTENANCE OR FACILITY,illegal graffiti theft vandalism,14
1601,WATER CONSERVATION,Leak roofs,25
2306,SEWER,road sewer backup,20
484,ILLEGAL PARKING,detached trailer,13
1604,WATER CONSERVATION,water waste discharge problem,25
1910,SANITATION,improper statistics,18
560,STREET CONDITION,detour,21
1531,SCRIE,tac du,19
2505,HPD LITERATURE REQUEST,Home Kit,12
532,DCA / DOH NEW LICENSE APPLICATION REQUEST,animal training license,4
2180,AIR QUALITY,indoor air conditioned dust construction demolition,0
1846,DOF PROPERTY - PAYMENT ISSUE,status unknown,6
842,NOISE,air conditioner ventilation equipment,15
1376,ILLEGAL PARKING,overnight storage commercial,13
448,AIR QUALITY,dust construction,0
2411,FOOD ESTABLISHMENT,flying insects garbage,9
820,DCA / DOH NEW LICENSE APPLICATION REQUEST,weight reducing group license,4
647,TRAFFIC,condulet cover,22
971,MAINTENANCE OR FACILITY,rodent,14
739,CONSUMER COMPLAINT,debt collection agency,3
1765,HAZARDOUS MATERIALS,unsafe chemical hazards,10
2474,HPD LITERATURE REQUEST,mitchell east lama street housing list,12
643,TRAFFIC,pedestrian sign,22
1089,ELECTRICAL,Glockenspiel intercom,8
1522,SCRIE,miscellaneous,19
888,TRAFFIC,ez pass reader,22
1217,VIOLATION OF PARK RULES,Barbecue outside authorized area,24
943,MAINTENANCE OR FACILITY,snow ice,14
351,STREET CONDITION,cellar door defective,21
626,STREET CONDITION,blocked atm,21
776,CONSUMER COMPLAINT,profit college,3
2580,PLUMBING,portable shower stall,17
1865,DOF PROPERTY - PAYMENT ISSUE,Unexplained agency costs,6
99,CONSTRUCTION,debris falling danger falling,1
2051,NOISE,noise hammering,15
410,SANITATION,pests,18
649,HPD LITERATURE REQUEST,senior citizen home assistance program loan,12
399,OTHER,janitor super,16
1415,DOF PARKING - PAYMENT ISSUE,card commove twice,5
1887,DOF PROPERTY - PAYMENT ISSUE,pecker received error,6
1210,VIOLATION OF PARK RULES,bbq outside authorized area,24
2472,HPD LITERATURE REQUEST,Payment homefirst information,12
2584,PLUMBING,stall shower,17
1166,VIOLATION OF PARK RULES,unlicensed use,24
797,CONSTRUCTION,initial construction,1
743,CONSUMER COMPLAINT,home improvement contractor,3
1992,NOISE,noise dog barking,15
2398,FOOD ESTABLISHMENT,kitchen exterior shopping area,9
383,CONSUMER COMPLAINT,contact sign posted,3
2221,AIR QUALITY,chimney smoke,0
1349,ILLEGAL PARKING,strategically parked blocking zone,13
936,MAINTENANCE OR FACILITY,vandalism graffiti,14
1508,SCRIE,one initial application,19
2329,SEWER,Manhole cover missing,20
944,MAINTENANCE OR FACILITY,Ice snow,14
1657,OTHER,Vermin,16
1723,OTHER,buzzer,16
1726,OTHER,bell posted,16
613,TRAFFIC,weather head,22
141,STREET CONDITION,bus stop,21
2366,SEWER,sewer app,20
1808,HAZARDOUS MATERIALS,Outdoor lead,10
2179,AIR QUALITY,air pressure fire demolition,0
1364,ILLEGAL PARKING,unauthorized saturday bus timetable layover,13
945,MAINTENANCE OR FACILITY,Snowy conditions,14
428,ELECTRICAL,lighting,8
1691,OTHER,fumes,16
1501,SCRIE,key tenant information,19
69,STREET CONDITION,lamppost missing,21
1316,ILLEGAL PARKING,nearest commercial overnight parking,13
912,MAINTENANCE OR FACILITY,Litter garbage,14
964,MAINTENANCE OR FACILITY,swamp grass weeds,14
1729,OTHER,Glockenspiel intercom,16
2026,NOISE,noise air condition ventilation equip use residential,15
1334,ILLEGAL PARKING,blocked photo,13
542,TRAFFIC,box cover,22
677,PLUMBING,swimming pool cover,17
2092,TREE,branch limb near fallen,23
1826,DOF PROPERTY - PAYMENT ISSUE,financial payment made wrong bbl,6
1428,DOF PARKING - PAYMENT ISSUE,letters mailed reflected,5
1466,SCRIE,scrie assistance,19
177,DOF PROPERTY - REDUCTION ISSUE,personal sche exemption,7
61,STREET CONDITION,rough pitted cracked roads,21
189,STREET CONDITION,lamppost base door cover damaged,21
745,PLUMBING,bird bath,17
364,TREE,branches damaged,23
128,AIR QUALITY,ventilation,0
1854,DOF PROPERTY - PAYMENT ISSUE,payment form,6
606,TRAFFIC,telco connection blk,22
1098,ELECTRICAL,outlet switch,8
1933,SANITATION,dirty bastard,18
433,TRAFFIC,aps,22
2514,HPD LITERATURE REQUEST,new lead law constitutional rights requirements,12
1872,DOF PROPERTY - PAYMENT ISSUE,amount incorrect paid,6
1398,DOF PARKING - PAYMENT ISSUE,settlement negotiation methods,5
2380,SEWER,plate missing moved exposing hole,20
801,CONSUMER COMPLAINT,scale dealer repairer,3
1344,ILLEGAL PARKING,permit improper parking use,13
1929,SANITATION,Dirty Alley,18
813,STREET CONDITION,crack sealing,21
2160,AIR QUALITY,odor air restaurant fumes,0
2581,PLUMBING,shower function,17
758,CONSUMER COMPLAINT,employment agency,3
949,MAINTENANCE OR FACILITY,competed indoors,14
1030,CONSTRUCTION SAFETY ENFORCEMENT,construction related compliance issues,2
1683,OTHER,f,16
235,PLUMBING,plumbing defective leaking maintained,17
2279,DOF PROPERTY - REDUCTION ISSUE,commercial net income exemption,7
1648,OTHER,rubbish,16
2147,AIR QUALITY,oil vapors physical odors,0
157,CONSTRUCTION,debris excessive,1
1970,SANITATION,loose like rubbish,18
185,TREE,tree leaning uprooted,23
2296,DOF PROPERTY - REDUCTION ISSUE,co condo abatement op,7
439,PLUMBING,water,17
1341,ILLEGAL PARKING,meters improper use,13
2233,DOF PROPERTY - REDUCTION ISSUE,Personal tax exemption,7
2431,FOOD ESTABLISHMENT,nutrient protection,9
1263,HIGHWAY CONDITION,guard rail main road,11
2057,NOISE,Crashing hammers,15
2457,FOOD ESTABLISHMENT,Food contaminated,9
380,CONSUMER COMPLAINT,lost property,3
1238,HIGHWAY CONDITION,highway improvement,11
2347,SEWER,catch search,20
2250,DOF PROPERTY - REDUCTION ISSUE,personal security exemption,7
53,SANITATION,dirty sidewalk,18
883,DCA / DOH NEW LICENSE APPLICATION REQUEST,general vendor waiting list application,4
927,MAINTENANCE OR FACILITY,unsecured installation,14
458,CONSUMER COMPLAINT,non disclosure fees,3
1943,SANITATION,police,18
2027,NOISE,clean air ventilation systems residential,15
2080,TREE,block whole,23
2159,AIR QUALITY,gentle wind odor fumes eating place,0
2314,SEWER,street wall flooding,20
1160,VIOLATION OF PARK RULES,Use unsafe playground,24
2469,HPD LITERATURE REQUEST,basic payment service,12
243,MAINTENANCE OR FACILITY,structure indoors,14
1340,ILLEGAL PARKING,parking permit require improper wheelchair use,13
2447,FOOD ESTABLISHMENT,toilet adroitness,9
678,PLUMBING,tires,17
427,ELECTRICAL,power outage,8
2044,NOISE,emergency noise noise sources,15
515,TRAFFIC,fixture,22
294,CONSUMER COMPLAINT,closed without notice,3
1847,DOF PROPERTY - PAYMENT ISSUE,status repayment,6
2059,NOISE,horn requested,15
574,DCA / DOH NEW LICENSE APPLICATION REQUEST,cabaret license,4
1873,DOF PROPERTY - PAYMENT ISSUE,Wrong amounts paid,6
165,DOF PROPERTY - PAYMENT ISSUE,payment made wrong bbl,6
1151,VIOLATION OF PARK RULES,utilisation freshly seeded lawn,24
1453,DOF PARKING - PAYMENT ISSUE,status ii,5
1912,SANITATION,disposal improper,18
1830,DOF PROPERTY - PAYMENT ISSUE,payment made September,6
1206,VIOLATION OF PARK RULES,unauthorized online tools,24
1410,DOF PARKING - PAYMENT ISSUE,card player charged twice,5
1959,SANITATION,illegal postering,18
2321,SEWER,Road flooding,20
2412,FOOD ESTABLISHMENT,rodents collected insects garbage,9
635,DCA / DOH NEW LICENSE APPLICATION REQUEST,animal grooming license,4
872,STREET CONDITION,dumpster causing damage,21
2286,DOF PROPERTY - REDUCTION ISSUE,personal business,7
1165,VIOLATION OF PARK RULES,cameo recordings,24
2285,DOF PROPERTY - REDUCTION ISSUE,key dhe data,7
1409,DOF PARKING - PAYMENT ISSUE,Wrong ticket,5
244,STREET CONDITION,wear tear,21
628,VIOLATION OF PARK RULES,unauthorized posting signs,24
173,CONSTRUCTION,adjacent buildings protected,1
2378,SEWER,plate already missing moved exposing hole,20
1168,VIOLATION OF PARK RULES,vendors unlicensed,24
733,STREET CONDITION,strip paving,21
1834,DOF PROPERTY - PAYMENT ISSUE,ownership interest dispute,6
1848,DOF PROPERTY - PAYMENT ISSUE,Refund status,6
2255,DOF PROPERTY - REDUCTION ISSUE,personal exemption,7
703,TRAFFIC,controller flasher,22
1066,ELECTRICAL,electric rail supply,8
835,CONSTRUCTION,initial bpp,1
537,AIR QUALITY,air dust commercial,0
103,STREET CONDITION,plate condition open,21
1662,OTHER,carbon footprint,16
1346,ILLEGAL PARKING,double parked blocking traffic,13
2543,CONSTRUCTION,moulding,1
2429,FOOD ESTABLISHMENT,food network,9
1995,NOISE,noise construction,15
1216,VIOLATION OF PARK RULES,outside bbq area authorized,24
2349,SEWER,catch basin drilling,20
1436,DOF PARKING - PAYMENT ISSUE,status variable payment adjustment,5
1407,DOF PARKING - PAYMENT ISSUE,apply wrong ticket,5
26,CONSUMER COMPLAINT,unlicensed,3
2095,TREE,branch branch fallen,23
1324,ILLEGAL PARKING,blocked bike rack lane,13
452,OTHER,mailbox,16
456,DOF PROPERTY - PAYMENT ISSUE,refund credit info status,6
1226,HIGHWAY CONDITION,pothole outlet highway,11
511,HPD LITERATURE REQUEST,housing information guide tenants owners notice,12
1445,DOF PARKING - PAYMENT ISSUE,person name,5
259,STREET CONDITION,flood light lamp dayburning,21
1886,DOF PROPERTY - PAYMENT ISSUE,bill received,6
921,MAINTENANCE OR FACILITY,Hourly operation,14
2510,HPD LITERATURE REQUEST,hpd Python programs,12
1795,HAZARDOUS MATERIALS,bird painting street small,10
996,CONSTRUCTION SAFETY ENFORCEMENT,implements csc monitoring capabilities tracking,2
115,PLUMBING,hydrant leaking,17
1552,SCRIE,Appeal application,19
1408,DOF PARKING - PAYMENT ISSUE,applied ticket wrong,5
1471,SCRIE,scrie assistance,19
2647,STREET CONDITION,chuckhole,21
199,AIR QUALITY,air smoke commercial,0
2002,NOISE,great noise construction hours,15
1233,HIGHWAY CONDITION,Pothole Road,11
812,TRAFFIC,red lt camera feed,22
404,SANITATION,garbage recycling storage,18
2204,AIR QUALITY,fresh air smoke commercial,0
1307,ILLEGAL PARKING,arrest sign violation,13
969,MAINTENANCE OR FACILITY,Grass weeds,14
41,SANITATION,dirty area alleyway,18
1774,HAZARDOUS MATERIALS,unsafe musical composition,10
2127,TREE,entire tree fallen,23
429,OTHER,cabinet,16
1442,DOF PARKING - PAYMENT ISSUE,person reflected,5
615,WATER CONSERVATION,water meter stolen missing,25
554,HIGHWAY CONDITION,loose plate,11
233,CONSTRUCTION,stairs,1
2050,NOISE,noise jack sparrow hammering,15
328,DCA / DOH NEW LICENSE APPLICATION REQUEST,sidewalk cafe license,4
354,STREET CONDITION,sidewalk grating defective,21
1141,VIOLATION OF PARK RULES,flexible space use,24
269,DCA / DOH NEW LICENSE APPLICATION REQUEST,secondhand dealer general license,4
660,TRAFFIC,speed board sign,22
1743,HAZARDOUS MATERIALS,chemical substance spill release,10
1949,SANITATION,cond drop,18
2240,DOF PROPERTY - REDUCTION ISSUE,Exemption commercial,7
1096,ELECTRICAL,wiring electrical exposed defective,8
2185,AIR QUALITY,Demolition dust structure,0
1642,OTHER,total rubbish,16
1205,VIOLATION OF PARK RULES,unauthorized posting status,24
1701,OTHER,super,16
2060,NOISE,front horn honking sign originally requested,15
601,SEWER,rain garden debris,20
155,CONSTRUCTION,failure comply vacate order,1
362,TRAFFIC,foundation,22
2079,TREE,whole closure,23
63,CONSTRUCTION,building permit none,1
2438,FOOD ESTABLISHMENT,pet animal,9
616,CONSUMER COMPLAINT,gender pricing,3
1468,SCRIE,scrie assistance,19
1369,ILLEGAL PARKING,Unauthorised bus flyovers,13
670,PLUMBING,swimming pool unmaintained,17
675,FOOD ESTABLISHMENT,allergy information,9
1641,WATER CONSERVATION,Water meters stolen,25
1127,ELECTRICAL,get,8
1120,ELECTRICAL,Outage power,8
378,TRAFFIC,door lock,22
2300,DOF PROPERTY - REDUCTION ISSUE,perry homestead,7
832,CONSTRUCTION,initial pa,1
1473,SCRIE,Write Help,19
231,DOF PARKING - PAYMENT ISSUE,status payment adjustment,5
730,CONSUMER COMPLAINT,tax preparer,3
1103,ELECTRICAL,outlet flip flop,8
2583,PLUMBING,shower stand,17
707,TRAFFIC,time switch,22
697,DOF PROPERTY - REDUCTION ISSUE,mci abatement,7
2004,NOISE,noise increase construction hours,15
2486,HPD LITERATURE REQUEST,heat desire,12
1565,WATER CONSERVATION,water meter leaking private unit,25
182,DCA / DOH NEW LICENSE APPLICATION REQUEST,laundry license,4
2368,SEWER,Odor sewer,20
1575,WATER CONSERVATION,water cadence separate leaking,25
2529,HPD LITERATURE REQUEST,Guide Housing Education Programme,12
1353,ILLEGAL PARKING,Double parker blocks traffic,13
983,CONSTRUCTION SAFETY ENFORCEMENT,best eminent procession tracking complaint,2
461,TREE,planted years ago,23
1256,HIGHWAY CONDITION,Animal dead,11
2558,CONSTRUCTION,doors,1
1999,NOISE,noise twist equipment,15
715,HIGHWAY CONDITION,sign blocked tree,11
1285,HIGHWAY CONDITION,drift barrier,11
1967,SANITATION,bedding surveillance,18
756,DCA / DOH NEW LICENSE APPLICATION REQUEST,employment agency manager license,4
2586,PLUMBING,hand bathtub,17
849,TRAFFIC,wireless,22
975,MAINTENANCE OR FACILITY,gnawer sighting,14
483,CONSTRUCTION SAFETY ENFORCEMENT,excavation tracking complaint,2
2554,CONSTRUCTION,two doors,1
311,DCA / DOH NEW LICENSE APPLICATION REQUEST,non retail food processing establishment license,4
951,MAINTENANCE OR FACILITY,social structure indoors,14
1426,DOF PARKING - PAYMENT ISSUE,mailed messages reflected,5
2288,DOF PROPERTY - REDUCTION ISSUE,Dhe personal exemption,7
1787,HAZARDOUS MATERIALS,chemicals chemical storage,10
2594,PLUMBING,water pressure leaks,17
965,MAINTENANCE OR FACILITY,purple weeds,14
1688,OTHER,signage,16
487,DOF PROPERTY - PAYMENT ISSUE,agency charge,6
1255,HIGHWAY CONDITION,beat animal,11
2083,TREE,bicycle chained,23
755,PLUMBING,fire hydrant emergency,17
1849,DOF PROPERTY - PAYMENT ISSUE,Status reimbursement,6
1782,HAZARDOUS MATERIALS,oil values large,10
1144,VIOLATION OF PARK RULES,public obstructing use,24
546,DCA / DOH NEW LICENSE APPLICATION REQUEST,animal boarding license,4
1348,ILLEGAL PARKING,double parked lanes blocking motor traffic,13
750,CONSUMER COMPLAINT,storage warehouse,3
1610,WATER CONSERVATION,illegal use zip hose,25
1541,SCRIE,asset management,19
1928,SANITATION,area dirty alleyway,18
2389,FOOD ESTABLISHMENT,good hands contact w p,9
1754,HAZARDOUS MATERIALS,chemical body odor,10
1739,HAZARDOUS MATERIALS,milk spill release,10
2642,STREET CONDITION,pothole,21
1960,SANITATION,Postering illegal,18
564,HPD LITERATURE REQUEST,abcs housing spanish,12
176,DOF PROPERTY - PAYMENT ISSUE,interest dispute,6
792,CONSUMER COMPLAINT,amusement ride,3
2028,NOISE,noise air condition improved ventilation equip residential,15
1542,SCRIE,rent,19
1897,DOF PROPERTY - PAYMENT ISSUE,Debt row,6
2099,TREE,dead willow tree,23
1906,SANITATION,improper dry disposal,18
2332,SEWER,catch basin clogged rain flooding,20
218,STREET CONDITION,glassware hanging,21
2340,SEWER,catch basin sunken damaged vessels raised,20
2252,DOF PROPERTY - REDUCTION ISSUE,personal protective exemption,7
1236,HIGHWAY CONDITION,highway fence,11
2013,NOISE,noise processing,15
1722,OTHER,bell bell tower buzzer intercom,16
814,STREET CONDITION,fire alarm lamp dayburning,21
75,PLUMBING,sewer,17
722,PLUMBING,puddle driveway,17
2426,FOOD ESTABLISHMENT,food protection,9
933,MAINTENANCE OR FACILITY,private exhibition,14
810,CONSUMER COMPLAINT,high interest loan,3
1258,HIGHWAY CONDITION,edmonton guard rail highway,11
479,TRAFFIC,drag racing,22
1485,SCRIE,scrie application curve,19
2525,HPD LITERATURE REQUEST,housing ministry related course guide,12
206,STREET CONDITION,affecting sewer foundation,21
2184,AIR QUALITY,Dust construction air demolition,0
1101,ELECTRICAL,outlet library,8
833,CONSTRUCTION,inspect rslve objections,1
361,CONSUMER COMPLAINT,installation work quality,3
398,PLUMBING,slow leak,17
2293,DOF PROPERTY - REDUCTION ISSUE,condo co production productions,7
1587,WATER CONSERVATION,efficient use,25
1486,SCRIE,scrie regression analysis,19
1027,CONSTRUCTION SAFETY ENFORCEMENT,train safety safety action,2
1413,DOF PARKING - PAYMENT ISSUE,charged twice,5
2152,AIR QUALITY,Vapors chemical odors gases,0
210,STREET CONDITION,dismiss violation owner fixed,21
2446,FOOD ESTABLISHMENT,toilet wipes,9
2625,DCA / DOH NEW LICENSE APPLICATION REQUEST,Contractor license,4
2082,TREE,bicycle chained tree,23
897,STREET CONDITION,concrete walls,21
379,PLUMBING,hydrant locking device request,17
2323,SEWER,shoe cover,20
1953,SANITATION,Street Cond Dump Drop,18
1781,HAZARDOUS MATERIALS,spring street large,10
86,PLUMBING,possible water main break,17
106,TREE,branch limb fallen,23
2031,NOISE,noise atmosphere circumstance ventilation equip residential,15
395,TRAFFIC,dead end signal,22
928,MAINTENANCE OR FACILITY,facility unsecured,14
1650,OTHER,nasty vermin,16
1954,SANITATION,illegal postering,18
1907,SANITATION,improper,18
2195,AIR QUALITY,dry air problem,0
593,AIR QUALITY,air soot,0
1591,WATER CONSERVATION,illegal utilisation hydrant,25
1695,OTHER,smoke fume,16
1423,DOF PARKING - PAYMENT ISSUE,add dof confirmation act issued,5
2211,AIR QUALITY,container fumes carting,0
1404,DOF PARKING - PAYMENT ISSUE,winner applied wrong ticket,5
2119,TREE,beat branches tree,23
1306,ILLEGAL PARKING,posted parking sign violation,13
1094,ELECTRICAL,electrical wiring telephone wires,8
275,TREE,blocking street,23
1750,HAZARDOUS MATERIALS,petroleum resources,10
1480,SCRIE,recertification scrie,19
1383,DOF PARKING - PAYMENT ISSUE,scorecard dof confirmation identification number issued,5
1609,WATER CONSERVATION,Water waste,25
538,DCA / DOH NEW LICENSE APPLICATION REQUEST,barbershop license,4
865,DOF PROPERTY - REDUCTION ISSUE,drie exemption,7
494,CONSUMER COMPLAINT,improper sale items,3
1965,SANITATION,litter collection,18
868,STREET CONDITION,suspected street cut,21
1198,VIOLATION OF PARK RULES,unauthorized Internet use,24
973,MAINTENANCE OR FACILITY,type sighting,14
1065,ELECTRICAL,Electrical wiring,8
854,CONSUMER COMPLAINT,loan offer,3
1827,DOF PROPERTY - PAYMENT ISSUE,made wrong,6
146,HAZARDOUS MATERIALS,petroleum spill,10
2562,CONSTRUCTION,fire escape escape,1
1715,OTHER,p,16
1981,SANITATION,canine psychology,18
1319,ILLEGAL PARKING,commercial overnight parking,13
2620,DCA / DOH NEW LICENSE APPLICATION REQUEST,home improvement improvement cooperative contractor license,4
2136,TREE,leaning tree uprooted,23
1395,DOF PARKING - PAYMENT ISSUE,settlement reduction,5
2432,FOOD ESTABLISHMENT,protection food,9
1584,WATER CONSERVATION,meter water stolen private missing residence,25
2454,FOOD ESTABLISHMENT,food,9
280,STREET CONDITION,street light lamp missing,21
1224,HIGHWAY CONDITION,litter,11
2036,NOISE,selective noise air conditioning condition ventilation technologies equip commercial,15
2236,DOF PROPERTY - REDUCTION ISSUE,commercial product exemption,7
2327,SEWER,manhole cover overleap,20
525,STREET CONDITION,wood pole wires exposed,21
1708,OTHER,sodium cooking gas,16
701,PLUMBING,puddle sidewalk,17
342,WATER CONSERVATION,rooftank leak overflow,25
89,AIR QUALITY,air smoke residential,0
1925,SANITATION,marine area files,18
1071,ELECTRICAL,galvanic supply,8
1143,VIOLATION OF PARK RULES,obstructing public use,24
713,DCA / DOH NEW LICENSE APPLICATION REQUEST,pathogens license,4
2410,FOOD ESTABLISHMENT,rodents poultry insects garbage,9
68,AIR QUALITY,chemical vapors gases odors,0
2322,SEWER,manhole cover section missing,20
226,WATER CONSERVATION,water meter stolen missing private residence,25
1213,VIOLATION OF PARK RULES,bbq jakarta metro area,24
2168,AIR QUALITY,air odor fumes vehicle idling,0
2623,DCA / DOH NEW LICENSE APPLICATION REQUEST,home advance contractor licence,4
664,CONSUMER COMPLAINT,spanish transaction,3
2273,DOF PROPERTY - REDUCTION ISSUE,Veterans exemption,7
78,CONSTRUCTION,illegal conversion commercial bldg space uses,1
1365,ILLEGAL PARKING,unauthorized immigration boycott,13
121,STREET CONDITION,street light lamp dim,21
941,MAINTENANCE OR FACILITY,pack ice,14
1751,HAZARDOUS MATERIALS,petroleum spillway,10
1239,HIGHWAY CONDITION,highway fencing,11
683,TRAFFIC,bbs failure,22
23,TRAFFIC,controller,22
366,TRAFFIC,sway bar,22
1222,HIGHWAY CONDITION,litter,11
2560,CONSTRUCTION,doors,1
1156,VIOLATION OF PARK RULES,unsafe use temporary playground,24
2336,SEWER,catch flooding basin clogged,20
172,PLUMBING,plumbing work illegal permit standpipe sprinkler,17
1113,ELECTRICAL,Cabling,8
1946,SANITATION,high street cond dump drop,18
1082,ELECTRICAL,automated bell buzzer horn intercom,8
2111,TREE,strike power phone production line,23
2022,NOISE,noise carting video,15
457,DOF PROPERTY - REDUCTION ISSUE,personal clergy exemption,7
2091,TREE,branch limb,23
1289,HIGHWAY CONDITION,Concrete barrier,11
1661,OTHER,rio monoxide,16
2171,AIR QUALITY,air jet residential,0
504,STREET CONDITION,line fuse missing,21
2548,CONSTRUCTION,first floor,1
1270,HIGHWAY CONDITION,painted line quotes,11
998,CONSTRUCTION SAFETY ENFORCEMENT,csc virus Edit,2
2225,AIR QUALITY,Airspace development,0
1582,WATER CONSERVATION,water meter stolen leaving private home,25
1382,DOF PARKING - PAYMENT ISSUE,card dof card issued,5
1140,VIOLATION OF PARK RULES,severely obstructing public health use,24
2405,FOOD ESTABLISHMENT,food worker ltd,9
1463,DOF PARKING - PAYMENT ISSUE,finance business inwardness reflect,5
950,MAINTENANCE OR FACILITY,structure description,14
1315,ILLEGAL PARKING,overnight parking,13
2151,AIR QUALITY,chemical vapour vaunt odors,0
2020,NOISE,cooling noise reduces private carting noise,15
681,PLUMBING,building foundation,17
2373,SEWER,fraser inlet,20
1571,WATER CONSERVATION,coal meter leaking,25
34,TREE,branch cracked fall,23
2110,TREE,hitting phone,23
2376,SEWER,overflow manhole,20
11,PLUMBING,water supply,17
1621,WATER CONSERVATION,casual use private residence,25
838,HAZARDOUS MATERIALS,lead indoor,10
54,SANITATION,law,18
56,CONSUMER COMPLAINT,damaged defective goods,3
2374,SEWER,manhole inspection,20
727,CONSUMER COMPLAINT,car dealer used,3
1814,HAZARDOUS MATERIALS,natural leak dep use,10
696,DCA / DOH NEW LICENSE APPLICATION REQUEST,portable amusement ride license,4
575,STREET CONDITION,foreign attachment wood pole,21
829,TRAFFIC,det sens cabinet,22
1305,ILLEGAL PARKING,Walkway blocked,13
1227,HIGHWAY CONDITION,katy highway,11
45,TRAFFIC,veh signal lamp,22
1741,HAZARDOUS MATERIALS,chemical spill site,10
1646,OTHER,rubbish,16
2297,DOF PROPERTY - REDUCTION ISSUE,Condominiums co op reduction,7
2157,AIR QUALITY,mild toxic fumes restaurant,0
957,MAINTENANCE OR FACILITY,swimming outdoors,14
1952,SANITATION,Cond street drop dump,18
1894,DOF PROPERTY - PAYMENT ISSUE,amount may dispute,6
1770,HAZARDOUS MATERIALS,unsafe safety chemical unknown,10
2088,TREE,bicycle tree chained,23
887,DCA / DOH NEW LICENSE APPLICATION REQUEST,retail laundry license application,4
184,STREET CONDITION,plate condition shifted,21
1084,ELECTRICAL,boeing bell emergency buzzer intercom,8
726,PLUMBING,container gallons,17
780,CONSUMER COMPLAINT,disabled device dealer,3
1019,CONSTRUCTION SAFETY ENFORCEMENT,excavation complaint,2
252,MAINTENANCE OR FACILITY,structure outdoors,14
2041,NOISE,Noise Air Conditioning Equip commercial ventilation,15
1870,DOF PROPERTY - PAYMENT ISSUE,incorrect spending money,6
1482,SCRIE,scrie application case problem,19
2616,DCA / DOH NEW LICENSE APPLICATION REQUEST,full term mobile vendor license food,4
1494,SCRIE,application server,19
901,CONSUMER COMPLAINT,jewelry appraiser,3
33,STREET CONDITION,lamppost leaning,21
2502,HPD LITERATURE REQUEST,home ownership Edit,12
1962,SANITATION,pet litter surveillance,18
1193,VIOLATION OF PARK RULES,Removal flowering plants,24
1520,SCRIE,approval copy order,19
1674,OTHER,smoke cloud detector,16
2005,NOISE,minimum construction hours,15
413,ILLEGAL PARKING,blocked hydrant,13
455,SCRIE,miscellaneous,19
261,DOF PROPERTY - REDUCTION ISSUE,personal veteran exemption,7
1785,HAZARDOUS MATERIALS,Oil spill road big,10
2401,FOOD ESTABLISHMENT,Kitchen Food Preparation,9
2176,AIR QUALITY,Smoke air residential,0
290,CONSTRUCTION,construction change grade watercourse,1
2578,PLUMBING,one shower stall,17
918,MAINTENANCE OR FACILITY,hours,14
2305,DOF PROPERTY - REDUCTION ISSUE,Homestead,7
846,PLUMBING,installation hydrant side post,17
939,MAINTENANCE OR FACILITY,snow forever,14
2439,FOOD ESTABLISHMENT,deary animal,9
2101,TREE,dead dying fools,23
14,CONSTRUCTION,gas,1
2303,DOF PROPERTY - REDUCTION ISSUE,homestead,7
760,DCA / DOH NEW LICENSE APPLICATION REQUEST,pool billiard hall license,4
1563,WATER CONSERVATION,water broken leaking residence,25
1862,DOF PROPERTY - PAYMENT ISSUE,unresolved corporate responsibilities,6
2484,HPD LITERATURE REQUEST,heat society bulletin,12
1590,WATER CONSERVATION,illegal electronic device,25
1989,NOISE,noise dog,15
397,DOF PROPERTY - REDUCTION ISSUE,commercial udaap exemption,7
1592,WATER CONSERVATION,illegal hydrant use,25
561,STREET CONDITION,maintenance cover,21
558,SEWER,highway flooding,20
2003,NOISE,minimum construction hours,15
2274,DOF PROPERTY - REDUCTION ISSUE,strict commercial profit exemption,7
1083,ELECTRICAL,bell music,8
869,DCA / DOH NEW LICENSE APPLICATION REQUEST,pedicab driver,4
180,TRAFFIC,veh sgnl mult lamps,22
1435,DOF PARKING - PAYMENT ISSUE,status payment,5
1118,ELECTRICAL,power abuse,8
1384,DOF PARKING - PAYMENT ISSUE,card dof confirmation number issued,5
565,CONSUMER COMPLAINT,damaged defective parts,3
1581,WATER CONSERVATION,meter missing private residence,25
777,CONSUMER COMPLAINT,rental hall,3
229,FOOD ESTABLISHMENT,toilet facility,9
1044,CONSTRUCTION SAFETY ENFORCEMENT,best technology dm motion tracking complaint,2
